,neut,male,female,date,round,groupid,lane,age,new_distance,dandivi,yeondivi,jockey_w,raw_weight,weight_added,prev1_velo,prev2_velo,prev3_velo,cure_in_1m,jprev1_rank,jprev2_rank,jprev3_rank,prev_velo_avg,prev_rank_avg,prev_rank_mean,year,month,prediction,rank_binary,rank
109,0,1,0,2018-09-29,12,5331,2,3,0,26.9,6.8,-0.87629371,-0.048589805,0.268946301,1.441101158,-1.355414441,0.994962515,0,5,9,1,15.67512057,6,3,2018,9,0.176834732,0,10
110,0,0,1,2018-09-29,12,5331,8,4,1,18,3.7,-0.87629371,0.477374308,0.268946301,1.350333411,0.682169722,-1.359646248,1,2,9,10,15.61650138,5,2.666666667,2018,9,0.157381475,0,9
111,1,0,0,2018-09-29,12,5331,4,3,0,39.4,14,-1.131009855,0.072786529,-0.738032483,0.767481992,0.959668175,2.072777357,0,7,7,4,16.06955459,10,4,2018,9,0.110377185,0,8
112,0,0,1,2018-09-29,12,5331,9,3,0,5.4,2,-0.87629371,0.538062474,0.700508637,-0.324163586,-1.204702298,1.76577092,1,1,6,2,15.54951062,3,2.666666667,2018,9,0.320599824,0,7
113,0,0,1,2018-09-29,12,5331,3,3,1,24,5.3,-0.87629371,1.306779254,-3.039698274,-0.445312648,1.273932783,0.86064989,1,10,11,1,15.76106198,7,5,2018,9,0.15130353,0,6
114,0,1,0,2018-09-29,12,5331,1,3,1,6.1,1.7,-1.385726,0.598750641,0.268946301,1.437851687,1.302129536,1.70496867,0,2,7,3,16.16452967,12,3.666666667,2018,9,0.425907075,0,5
115,0,0,1,2018-09-29,12,5331,6,5,1,45.7,8.6,-1.385726,-0.311571861,-0.450324259,-0.667453407,-1.385398225,-1.892769327,1,1,3,4,14.94159674,1,4.333333333,2018,9,0.09910325,1,3
116,0,1,0,2018-09-29,12,5331,5,3,1,3.2,1.3,-0.112145276,0.82127392,-0.018761923,1.395660977,1.529268236,0.816097677,0,8,6,3,16.06233974,9,3.666666667,2018,9,0.605331898,1,2
117,1,0,0,2018-09-29,12,5331,10,3,1,5.1,2,1.161435448,0.23462164,-0.881886595,-0.543405856,1.744769379,1.149678553,1,12,2,2,15.85713685,8,3.333333333,2018,9,0.317946047,1,1
118,0,0,1,2018-09-29,11,1431,11,3,1,5.6,1.9,1.416151593,-0.068819194,-1.169594819,0.134304235,1.875277072,0.961291743,1,8,6,10,15.94838991,9,4,2018,9,0.262285084,0,12
119,0,1,0,2018-09-29,11,1431,6,3,1,8.3,2.3,0.142570869,0.194162862,-0.018761923,1.494257596,1.6008246,1.175591741,1,9,7,12,16.13943868,12,2,2018,9,0.258857757,0,11
